id,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,availability_365
6369,Chamartín,Hispanoamérica,40.45724,-3.67688,60,1,180
21853,Latina,Cármenes,40.40381,-3.7413,31,4,364
23001,Arganzuela,Legazpi,40.3884,-3.69511,50,15,1
24805,Centro,Universidad,40.42183,-3.70529,92,5,72
26825,Arganzuela,Legazpi,40.38975,-3.69018,26,2,365
28200,Arganzuela,Legazpi,40.3886,-3.69492,85,1,365
30320,Centro,Sol,40.41476,-3.70418,65,5,351
30959,Centro,Embajadores,40.41259,-3.70105,54,3,0
37859,Centro,Palacio,40.41844,-3.71073,1400,3,365
40718,Centro,Justicia,40.41969,-3.69736,79,3,302
40916,Centro,Universidad,40.42247,-3.70577,90,5,346
47957,Salamanca,Goya,40.42792,-3.67682,82,10,319
59923,Centro,Palacio,40.42103,-3.71038,40,1,365
62423,Centro,Justicia,40.41884,-3.69655,24,1,357
64131,Fuencarral - El Pardo,Peñagrande,40.48543,-3.72318,21,2,364
70059,Centro,Universidad,40.42381,-3.71038,51,5,38
70316,Centro,Palacio,40.42191,-3.71038,75,28,348
72150,Centro,Embajadores,40.4115,-3.70449,139,2,180
74352,Centro,Embajadores,40.40864,-3.70884,80,8,288
75609,Centro,Embajadores,40.40892,-3.69697,63,3,46
82481,Salamanca,Recoletos,40.42342,-3.68123,63,3,0
84719,Centro,Embajadores,40.40866,-3.70374,46,2,37
86042,Centro,Embajadores,40.40939,-3.69812,125,2,179
89954,Centro,Palacio,40.41358,-3.71353,114,2,365
92920,Centro,Justicia,40.42491,-3.69552,70,2,363
93100,Centro,Universidad,40.42378,-3.70248,45,1,289
96807,Puente de Vallecas,Palomeras Bajas,40.38159,-3.65534,31,4,365
100411,Fuencarral - El Pardo,Valverde,40.50044,-3.67032,60,2,0
101507,Centro,Embajadores,40.40786,-3.70223,50,3,31
102040,Ciudad Lineal,Pueblo Nuevo,40.43422,-3.64196,19,3,89
102194,Centro,Justicia,40.42318,-3.69748,96,2,226
103541,Chamberí,Almagro,40.43815,-3.69764,70,2,313
114854,Chamberí,Rios Rosas,40.4382,-3.69389,70,2,320
119389,Centro,Embajadores,40.40919,-3.70908,105,3,233
120293,Centro,Palacio,40.41143,-3.70912,20,1,45
120762,Centro,Universidad,40.42231,-3.70482,32,1,262
123864,Centro,Embajadores,40.41001,-3.70704,44,1,83
127819,Centro,Cortes,40.4141,-3.70289,148,1,343
132428,Centro,Embajadores,40.41012,-3.69709,30,3,1
136058,Villaverde,Los Angeles,40.35761,-3.69723,21,1,289
154224,Centro,Cortes,40.41392,-3.70049,69,3,341
163429,Chamberí,Trafalgar,40.43765,-3.70408,65,90,1
167183,Hortaleza,Piovera,40.45575,-3.64912,45,1,363
170750,Centro,Universidad,40.42386,-3.70489,91,25,340
171144,Centro,Palacio,40.41678,-3.71156,120,3,1
177523,Centro,Universidad,40.42876,-3.70379,72,5,233
177846,Centro,Universidad,40.42399,-3.70389,20,3,365
177850,Centro,Universidad,40.42609,-3.70551,18,4,365
196197,Centro,Palacio,40.41235,-3.70967,55,2,269
199016,Centro,Universidad,40.4257,-3.70383,28,2,364
199201,Centro,Embajadores,40.41319,-3.7024,75,3,364
200828,Salamanca,Castellana,40.43201,-3.68358,214,7,365
201033,Centro,Universidad,40.4221,-3.70685,40,1,1
204570,Centro,Cortes,40.4152,-3.69668,80,5,150
205199,Centro,Universidad,40.42116,-3.70384,85,3,365
207275,Moncloa - Aravaca,Casa de Campo,40.42829,-3.72119,50,10,365
209373,Centro,Embajadores,40.41126,-3.70347,30,7,277
209780,Carabanchel,Abrantes,40.37935,-3.73162,94,2,0
211444,Hortaleza,Canillas,40.45959,-3.64699,55,2,365
217674,Centro,Sol,40.41538,-3.70741,101,3,316
219303,Centro,Universidad,40.42377,-3.70241,19,1,364
225462,Centro,Cortes,40.41366,-3.69788,30,2,338
225489,Chamberí,Arapiles,40.43595,-3.70706,25,25,0
229664,Centro,Embajadores,40.4078,-3.70085,43,2,289
231861,Chamberí,Trafalgar,40.43699,-3.70037,61,1,0
240128,Carabanchel,Opañel,40.3924,-3.72344,25,5,364
256004,Centro,Sol,40.41428,-3.70767,80,3,365
260656,Centro,Embajadores,40.40743,-3.70114,88,7,362
260951,Hortaleza,Valdefuentes,40.47189,-3.62966,95,3,0
261878,Centro,Universidad,40.42269,-3.70378,67,3,151
263748,Hortaleza,Valdefuentes,40.47142,-3.62881,64,4,37
268275,Centro,Embajadores,40.41194,-3.70339,79,2,104
280733,Centro,Universidad,40.42457,-3.70802,110,5,184
281224,Centro,Palacio,40.41685,-3.70882,68,2,163
282195,Centro,Cortes,40.41391,-3.7005,71,3,340
282196,Centro,Cortes,40.41392,-3.70049,59,3,341
282715,Salamanca,Recoletos,40.42432,-3.68329,175,2,337
283862,Centro,Sol,40.41681,-3.70747,106,1,0
287660,Centro,Universidad,40.42683,-3.71108,30,1,0
289555,Centro,Cortes,40.41758,-3.69631,26,1,308
294520,Centro,Justicia,40.42226,-3.69959,50,2,0
294529,Centro,Justicia,40.42226,-3.69959,37,4,365
297017,Centro,Cortes,40.41414,-3.69419,89,3,344
310333,Centro,Embajadores,40.40908,-3.69514,61,4,333
310678,Centro,Universidad,40.42163,-3.70785,68,3,263
315682,Centro,Universidad,40.42365,-3.70379,172,3,0
316711,Centro,Sol,40.41822,-3.70845,200,15,159
333974,Centro,Cortes,40.41392,-3.70049,59,3,341
336672,Arganzuela,Delicias,40.39516,-3.69309,106,2,90
336834,Centro,Justicia,40.42242,-3.69562,65,5,1
336869,Centro,Sol,40.41593,-3.70602,87,2,0
337292,Chamartín,Ciudad Jardín,40.44663,-3.67625,35,2,0
339144,Centro,Universidad,40.42838,-3.70345,64,3,258
339171,Centro,Cortes,40.41285,-3.69553,82,3,304
339813,Centro,Cortes,40.41204,-3.6975,80,2,364
341939,Centro,Embajadores,40.41037,-3.70018,55,30,289
342095,Centro,Embajadores,40.41015,-3.69797,79,5,363
342557,Chamartín,Ciudad Jardín,40.45005,-3.67569,70,2,343
342952,Centro,Cortes,40.41392,-3.70049,59,3,340
345195,Centro,Universidad,40.42365,-3.70536,89,3,0
345230,Centro,Universidad,40.42531,-3.70597,77,3,89
345233,Centro,Universidad,40.42504,-3.704,77,3,89
345249,Tetuán,Almenara,40.47148,-3.68946,166,2,325
347510,Salamanca,Fuente del Berro,40.42881,-3.66605,223,2,356
354838,Centro,Universidad,40.4249,-3.7097,70,20,0
361053,Retiro,Niño Jesús,40.40988,-3.67503,100,2,149
363476,Centro,Sol,40.41676,-3.70682,44,2,358
371532,Centro,Palacio,40.41944,-3.70945,80,2,180
375472,Arganzuela,Acacias,40.40334,-3.70254,19,6,16
376379,Centro,Embajadores,40.41115,-3.69673,42,1,258
377151,Salamanca,Fuente del Berro,40.42163,-3.66249,30,1,0
391795,Puente de Vallecas,Entrevías,40.37733,-3.67441,35,2,365
396532,Centro,Sol,40.41959,-3.70373,88,2,48
406341,Salamanca,Lista,40.42978,-3.67817,25,3,296
406697,Centro,Cortes,40.41401,-3.70004,56,2,0
410699,Centro,Sol,40.41737,-3.70015,140,2,193
415967,Centro,Embajadores,40.40827,-3.70049,58,2,150
416705,Puente de Vallecas,Entrevías,40.379,-3.67423,30,2,351
420039,Centro,Universidad,40.42738,-3.70635,57,1,244
423655,Centro,Justicia,40.42719,-3.70142,100,5,269
424816,Tetuán,Cuatro Caminos,40.45399,-3.69957,30,90,363
427407,Centro,Embajadores,40.41155,-3.70146,65,2,323
429306,Chamberí,Arapiles,40.43028,-3.70732,103,3,264
429604,Centro,Cortes,40.4135,-3.70145,65,2,306
431806,Moncloa - Aravaca,Casa de Campo,40.42827,-3.72226,30,15,322
435010,Centro,Palacio,40.41275,-3.70862,25,2,351
439715,Centro,Justicia,40.42224,-3.69776,100,2,365
440596,Chamberí,Trafalgar,40.43015,-3.69864,30,3,0
442986,Centro,Justicia,40.42389,-3.6977,96,2,363
444113,Latina,Lucero,40.40182,-3.75334,25,1,365
449218,Centro,Justicia,40.42849,-3.70183,49,3,197
456165,Carabanchel,Comillas,40.39032,-3.71382,30,2,0
460898,Fuencarral - El Pardo,La Paz,40.48503,-3.69858,15,30,362
462072,Centro,Palacio,40.40869,-3.71073,121,2,196
464307,Centro,Universidad,40.42186,-3.70341,85,3,104
467552,Chamberí,Almagro,40.42859,-3.69521,72,2,158
468202,Centro,Universidad,40.42123,-3.70133,25,30,316
470132,Centro,Embajadores,40.41018,-3.70164,77,3,0
473112,Centro,Justicia,40.42349,-3.70024,74,12,152
479718,San Blas - Canillejas,Rosas,40.43202,-3.60353,76,3,363
490610,Latina,Puerta del Angel,40.40996,-3.72491,38,2,0
491070,Centro,Universidad,40.42885,-3.70479,70,180,364
492221,Centro,Palacio,40.41322,-3.70949,69,2,227
493238,Centro,Embajadores,40.40655,-3.70629,54,4,289
497706,Retiro,Jerónimos,40.40808,-3.68338,60,1,260
499911,Centro,Embajadores,40.41234,-3.70186,97,4,258
502918,Centro,Cortes,40.41155,-3.69492,48,3,0
506956,Ciudad Lineal,Concepción,40.44117,-3.64841,68,1,138
507614,Centro,Universidad,40.42323,-3.70434,84,30,364
510973,Centro,Cortes,40.41412,-3.70057,46,2,365
514917,Latina,Puerta del Angel,40.40445,-3.7398,31,4,363
515008,San Blas - Canillejas,Arcos,40.42297,-3.61193,17,10,319
515339,Centro,Palacio,40.4127,-3.7126,65,3,0
518208,San Blas - Canillejas,Arcos,40.42756,-3.61577,21,10,349
518511,Centro,Embajadores,40.41012,-3.70484,40,2,365
521329,Chamartín,Hispanoamérica,40.45591,-3.68773,20,7,364
521367,Centro,Sol,40.4154,-3.70255,75,3,99
522563,Centro,Palacio,40.41152,-3.70991,76,2,179
524003,Centro,Embajadores,40.41327,-3.70223,65,2,365
526162,Retiro,Pacífico,40.4057,-3.67605,19,2,0
526513,Centro,Sol,40.41604,-3.70834,42,2,169
529690,Centro,Palacio,40.41004,-3.71233,100,2,328
531677,Centro,Universidad,40.42286,-3.70236,34,2,179
536574,Arganzuela,Delicias,40.39317,-3.69358,70,3,0
537234,Arganzuela,Palos de Moguer,40.40108,-3.69113,25,1,0
540937,Centro,Embajadores,40.40954,-3.70096,55,1,174
541406,Ciudad Lineal,Costillares,40.46905,-3.66637,300,5,0
544736,Chamartín,Hispanoamérica,40.45841,-3.67598,21,2,311
545174,Chamberí,Gaztambide,40.43474,-3.71233,40,1,0
547050,Retiro,Ibiza,40.42159,-3.67713,43,5,87
548353,Chamberí,Rios Rosas,40.44599,-3.70334,99,2,365
548995,Retiro,Ibiza,40.419,-3.67774,90,5,244
549664,Villa de Vallecas,Casco Histórico de Vallecas,40.37057,-3.61511,50,1,180
552183,Centro,Cortes,40.41309,-3.69775,35,2,364
560941,Salamanca,Recoletos,40.42297,-3.69095,134,5,241
565152,Centro,Embajadores,40.40683,-3.69932,37,2,171
566241,Centro,Embajadores,40.40913,-3.699,50,90,0
568190,Latina,Puerta del Angel,40.41016,-3.72863,20,2,0
570158,Tetuán,Cuatro Caminos,40.447,-3.70291,20,7,336
572048,Chamberí,Trafalgar,40.42993,-3.70339,30,3,0
576487,Barajas,Casco Histórico de Barajas,40.4739,-3.57583,78,1,236
578731,Centro,Universidad,40.42551,-3.70812,9999,2,105
586726,Moncloa - Aravaca,Casa de Campo,40.42671,-3.72858,86,30,173
588382,Centro,Embajadores,40.41151,-3.70257,190,2,0
588518,Centro,Palacio,40.4158,-3.70962,165,4,277
590710,Usera,San Fermín,40.36701,-3.68667,50,7,362
598771,Arganzuela,Palos de Moguer,40.40661,-3.6952,85,3,363
599134,Centro,Sol,40.41596,-3.70846,33,30,87
599885,Centro,Justicia,40.42397,-3.69721,25,2,131
599977,Centro,Universidad,40.42675,-3.70683,37,2,197
604150,Salamanca,Castellana,40.4312,-3.68502,110,30,362
604632,Tetuán,Berruguete,40.457,-3.70436,23,1,365
605339,Latina,Lucero,40.40743,-3.74293,14,3,69
606923,Moncloa - Aravaca,Aravaca,40.45021,-3.78733,28,2,76
607548,Puente de Vallecas,San Diego,40.39366,-3.66535,45,2,0
608742,Centro,Palacio,40.41744,-3.70873,49,2,76
610675,Centro,Sol,40.41769,-3.69974,70,3,0
616027,Chamartín,Prosperidad,40.43922,-3.67574,23,1,0
618576,Centro,Palacio,40.41771,-3.70925,76,2,76
625566,Arganzuela,Acacias,40.40349,-3.70418,60,2,0
628394,Centro,Sol,40.4173,-3.70208,279,2,104
631737,Chamartín,Castilla,40.47143,-3.6748,75,3,132
642863,Centro,Universidad,40.42245,-3.70504,46,4,89
643471,Centro,Embajadores,40.41256,-3.70373,10,3,0
644656,Ciudad Lineal,Pueblo Nuevo,40.42432,-3.6399,25,7,365
647376,Centro,Palacio,40.41163,-3.70822,58,30,364
647891,Chamberí,Gaztambide,40.43188,-3.71386,40,2,76
655514,Ciudad Lineal,Pueblo Nuevo,40.42432,-3.6399,30,1,365
656520,Centro,Embajadores,40.40969,-3.70457,65,5,74
659887,Retiro,Pacífico,40.40264,-3.68309,29,14,364
663761,Villa de Vallecas,Casco Histórico de Vallecas,40.37093,-3.62298,23,1,0
668753,Chamberí,Trafalgar,40.43287,-3.7007,46,4,362
676566,Retiro,Pacífico,40.40222,-3.68096,75,3,1
678413,Arganzuela,Acacias,40.40419,-3.70383,70,5,363
680784,Centro,Universidad,40.42136,-3.70541,48,3,1
682889,Centro,Embajadores,40.4064,-3.70898,90,3,365
683208,Salamanca,Lista,40.43189,-3.67793,280,5,104
683969,Carabanchel,Puerta Bonita,40.37609,-3.74279,20,1,0
684564,Centro,Palacio,40.41747,-3.70979,108,3,0
685152,Hortaleza,Pinar del Rey,40.4696,-3.65012,182,2,354
689099,Ciudad Lineal,Costillares,40.47444,-3.67135,40,1,0
691344,Arganzuela,Delicias,40.39992,-3.69537,20,2,288
691458,Arganzuela,Delicias,40.40066,-3.69719,37,2,365
692358,Villaverde,Los Angeles,40.36089,-3.69594,88,3,179
692855,Centro,Palacio,40.41261,-3.7088,75,3,106
694867,Villaverde,Los Angeles,40.35701,-3.69643,70,3,179
695909,Centro,Universidad,40.4256,-3.70436,141,2,289
696928,Salamanca,Lista,40.43003,-3.67429,50,2,365
697858,Tetuán,Bellas Vistas,40.45519,-3.706,35,1,0
704155,Centro,Embajadores,40.41389,-3.70461,9142,3,0
708275,Chamartín,El Viso,40.44374,-3.68161,50,270,364
709208,Centro,Sol,40.41697,-3.70732,69,2,198
710156,Barajas,Alameda de Osuna,40.4523,-3.59142,31,1,44
716292,Centro,Universidad,40.42616,-3.70263,81,10,258
717313,Centro,Palacio,40.41222,-3.71365,85,2,298
721377,Fuencarral - El Pardo,Valverde,40.50069,-3.68994,50,7,306
723088,Centro,Justicia,40.42536,-3.69887,75,3,328
724700,Centro,Embajadores,40.4107,-3.70253,89,30,0
724901,Chamberí,Vallehermoso,40.43998,-3.71405,150,365,365
727588,Puente de Vallecas,San Diego,40.39368,-3.66975,44,30,334
730347,Centro,Sol,40.41534,-3.70757,140,2,227
730502,Centro,Palacio,40.41826,-3.71244,79,1,333
730746,Centro,Universidad,40.42881,-3.70401,130,3,267
733365,Chamberí,Arapiles,40.43653,-3.70421,27,2,318
734053,Retiro,Ibiza,40.41731,-3.6731,50,30,365
738837,Centro,Embajadores,40.40812,-3.70531,40,3,48
743650,Centro,Embajadores,40.41102,-3.70083,26,2,364
745459,Arganzuela,Acacias,40.40449,-3.70463,35,1,1
745664,Arganzuela,Acacias,40.40449,-3.70463,35,2,289
747873,Centro,Universidad,40.42329,-3.70833,69,1,232
748854,Arganzuela,Acacias,40.40333,-3.7025,18,5,180
749957,Moncloa - Aravaca,Argüelles,40.42796,-3.72054,40,7,270
750257,Centro,Universidad,40.42057,-3.70486,75,5,346
751527,Centro,Universidad,40.42482,-3.71084,205,5,362
751530,Centro,Sol,40.41429,-3.70649,59,1,361
752424,Centro,Embajadores,40.40687,-3.70917,110,3,0
752515,Centro,Embajadores,40.41233,-3.70641,51,2,319
752883,Latina,Puerta del Angel,40.40788,-3.73147,45,200,358
754678,Centro,Cortes,40.41382,-3.69514,135,3,330
755535,San Blas - Canillejas,Arcos,40.42761,-3.6158,21,10,349
755587,Centro,Palacio,40.41497,-3.70853,59,3,319
756707,Centro,Sol,40.41805,-3.70848,71,2,259
759575,Centro,Justicia,40.42333,-3.69989,91,3,66
760482,Tetuán,Castillejos,40.45989,-3.69472,163,2,231
761095,San Blas - Canillejas,Rejas,40.44791,-3.57918,85,1,365
761098,San Blas - Canillejas,Rejas,40.44655,-3.58128,57,1,1
761159,Centro,Sol,40.41399,-3.70776,59,3,318
761195,San Blas - Canillejas,Rejas,40.4483,-3.57965,57,1,365
762701,Centro,Sol,40.41522,-3.70414,105,3,192
763214,Centro,Palacio,40.40789,-3.71404,63,3,288
766160,Centro,Embajadores,40.41189,-3.70107,55,1,364
768311,Centro,Palacio,40.41166,-3.71007,59,3,1
769210,Hortaleza,Piovera,40.46154,-3.63003,34,3,88
770883,Centro,Embajadores,40.40645,-3.70109,76,3,365
772646,Centro,Sol,40.41403,-3.70453,9856,3,105
773608,Chamberí,Trafalgar,40.42874,-3.6996,31,1,14
773990,Centro,Embajadores,40.40997,-3.70155,47,3,334
774008,Ciudad Lineal,Costillares,40.47974,-3.66852,35,2,89
774356,Centro,Universidad,40.42507,-3.70663,44,10,89
779960,Centro,Embajadores,40.40869,-3.6975,73,3,170
780397,Arganzuela,Palos de Moguer,40.40115,-3.69657,149,3,2
781012,Centro,Embajadores,40.40876,-3.70878,35,2,364
783647,Ciudad Lineal,Costillares,40.47731,-3.66659,22,1,322
785834,Moncloa - Aravaca,Casa de Campo,40.42853,-3.72286,21,7,365
793618,Centro,Palacio,40.41027,-3.7122,203,1,197
793622,Centro,Palacio,40.42162,-3.71158,65,5,252
795877,Centro,Palacio,40.41411,-3.70862,58,3,365
797030,San Blas - Canillejas,Simancas,40.43602,-3.63506,46,4,232
798091,Centro,Palacio,40.41495,-3.70941,90,3,289
804681,Barajas,Timón,40.47281,-3.58827,28,60,0
814586,Centro,Justicia,40.42242,-3.69674,82,1,350
814647,San Blas - Canillejas,Salvador,40.4403,-3.63464,30,90,364
814731,Centro,Embajadores,40.41089,-3.70689,17,360,365
814870,Retiro,Jerónimos,40.4077,-3.68473,20,1,259
817184,Centro,Cortes,40.4112,-3.69567,60,2,289
821860,Centro,Embajadores,40.41013,-3.70453,59,1,365
828095,San Blas - Canillejas,Salvador,40.44214,-3.63756,32,2,364
831616,Centro,Embajadores,40.40857,-3.69801,65,5,335
832102,Chamberí,Almagro,40.43715,-3.69866,45,3,364
833871,Centro,Universidad,40.42556,-3.70175,56,2,288
834562,Barajas,Timón,40.46913,-3.58258,93,1,122
834675,Puente de Vallecas,Numancia,40.39826,-3.66722,26,2,89
837183,Centro,Universidad,40.42841,-3.71386,125,1,365
838698,Retiro,Pacífico,40.40646,-3.68289,25,1,364
838712,Retiro,Pacífico,40.40625,-3.68479,21,1,150
840561,Moncloa - Aravaca,Ciudad Universitaria,40.44919,-3.71006,114,7,0
842078,Centro,Sol,40.41726,-3.70269,66,90,362
844856,Centro,Palacio,40.41601,-3.70951,10,90,90
846558,Centro,Sol,40.41858,-3.70077,50,3,76
847273,Moratalaz,Marroquina,40.40721,-3.64994,140,3,144
847724,Centro,Palacio,40.41826,-3.71188,60,2,365
849939,Centro,Embajadores,40.40903,-3.70786,24,1,0
851311,Centro,Universidad,40.42294,-3.70468,65,4,226
853804,Centro,Universidad,40.42741,-3.70807,95,8,173
855155,Latina,Campamento,40.39742,-3.76862,30,1,365
856669,Centro,Cortes,40.41454,-3.6991,70,3,12
858563,Ciudad Lineal,Costillares,40.47203,-3.6662,76,1,364
859800,San Blas - Canillejas,Rejas,40.44416,-3.57199,48,1,0
862462,Centro,Palacio,40.40964,-3.71139,51,1,289
862752,Arganzuela,Delicias,40.40076,-3.69641,33,3,89
864488,Centro,Embajadores,40.40956,-3.7009,47,2,238
867629,Centro,Palacio,40.42106,-3.71121,211,1,365
868776,Centro,Embajadores,40.40818,-3.70191,53,4,114
869674,Centro,Embajadores,40.40873,-3.69961,101,2,365
871387,Centro,Universidad,40.42298,-3.70895,100,1,179
874029,San Blas - Canillejas,Salvador,40.4449,-3.63508,30,2,199
883527,Salamanca,Goya,40.42551,-3.67958,42,60,0
884856,Centro,Palacio,40.42151,-3.7098,46,1,288
886019,Chamberí,Gaztambide,40.43741,-3.71162,105,4,208
888289,Centro,Universidad,40.42656,-3.7036,113,5,43
891946,Centro,Justicia,40.42849,-3.70194,80,2,0
892100,Carabanchel,Comillas,40.39505,-3.70763,63,1,364
892453,Latina,Lucero,40.40726,-3.74174,14,3,37
893056,Centro,Cortes,40.41482,-3.70266,29,30,362
893142,Centro,Cortes,40.41482,-3.70266,29,30,335
893195,Salamanca,Recoletos,40.42187,-3.68775,50,15,328
896209,Chamartín,Castilla,40.47058,-3.68539,50,2,295
896588,Salamanca,Lista,40.43065,-3.67261,80,3,365
901897,Centro,Palacio,40.41825,-3.71239,132,1,349
902946,Centro,Embajadores,40.41174,-3.70271,51,10,0
903707,Centro,Embajadores,40.40766,-3.69952,64,6,104
904741,Centro,Sol,40.41845,-3.70544,96,2,341
904769,Centro,Sol,40.41866,-3.70547,60,2,322
904775,Centro,Palacio,40.42062,-3.70766,98,2,344
912617,Ciudad Lineal,Concepción,40.4334,-3.65682,110,7,349
913536,Centro,Universidad,40.42157,-3.70539,35,1,0
914057,Puente de Vallecas,Palomeras Sureste,40.38901,-3.64185,21,1,349
919430,Centro,Universidad,40.42613,-3.70534,19,4,365
922397,Salamanca,Goya,40.42473,-3.67977,60,2,198
923140,Centro,Universidad,40.42194,-3.70194,130,3,354
923645,Retiro,Ibiza,40.41873,-3.67761,94,2,1
925250,Centro,Sol,40.41538,-3.70351,48,1,359
925339,Centro,Universidad,40.42259,-3.70152,50,30,134
926653,Centro,Cortes,40.41245,-3.69688,64,1,172
930032,Centro,Embajadores,40.40788,-3.69564,65,3,365
933326,Arganzuela,Palos de Moguer,40.40546,-3.69213,100,2,70
936157,Centro,Palacio,40.4183,-3.71239,129,3,328
938410,Salamanca,Recoletos,40.42722,-3.68388,262,5,365
938506,Centro,Cortes,40.41391,-3.70264,45,30,323
940649,Arganzuela,Palos de Moguer,40.40224,-3.70001,70,5,0
944555,Centro,Sol,40.415,-3.70582,76,3,53
945003,Centro,Universidad,40.42609,-3.7043,40,4,365
947169,Centro,Embajadores,40.41324,-3.70651,68,4,193
948963,Latina,Puerta del Angel,40.40777,-3.74013,21,2,89
958020,Centro,Universidad,40.42744,-3.70658,81,7,354
970485,Retiro,Jerónimos,40.41835,-3.68955,350,5,105
970890,Centro,Universidad,40.42505,-3.71101,39,3,0
977261,Centro,Embajadores,40.40773,-3.69476,22,1,26
979312,Chamberí,Arapiles,40.43358,-3.70524,35,1,365
981016,Centro,Universidad,40.42661,-3.70222,102,1,253
981368,Chamberí,Trafalgar,40.42986,-3.7023,32,1,0
981369,Chamberí,Trafalgar,40.43165,-3.70152,92,1,13
983019,Puente de Vallecas,Numancia,40.40215,-3.66263,32,4,1
983410,Tetuán,Cuatro Caminos,40.45126,-3.69369,40,2,78
985160,Centro,Embajadores,40.41369,-3.70252,66,15,288
989063,Ciudad Lineal,San Juan Bautista,40.44796,-3.66138,198,300,365
1003602,Centro,Embajadores,40.41156,-3.70546,70,3,289
1007532,Centro,Universidad,40.42337,-3.70113,48,1,355
1018471,Hortaleza,Valdefuentes,40.4869,-3.65722,30,2,365
1020785,Chamberí,Gaztambide,40.43316,-3.71393,30,4,363
1026242,Chamberí,Gaztambide,40.43736,-3.71721,33,7,227
1037715,Centro,Palacio,40.41095,-3.71199,80,100,91
1038867,Centro,Sol,40.41523,-3.70831,45,2,10
1039376,Barajas,Casco Histórico de Barajas,40.47479,-3.57467,47,7,288
1039454,Retiro,Ibiza,40.41667,-3.6756,104,2,364
1044902,Moncloa - Aravaca,Ciudad Universitaria,40.46549,-3.75115,112,2,0
1050948,Salamanca,Recoletos,40.4287,-3.6862,46,3,220
1052457,Centro,Embajadores,40.40786,-3.70223,50,30,166
1053180,Centro,Embajadores,40.41045,-3.7057,70,2,365
1053662,Chamberí,Rios Rosas,40.44338,-3.69662,30,1,74
1055724,Chamberí,Arapiles,40.43542,-3.70755,30,2,0
1056151,Centro,Embajadores,40.40946,-3.69809,70,2,359
1057560,Centro,Palacio,40.42001,-3.70824,101,3,312
1059084,Centro,Palacio,40.41483,-3.70927,79,3,363
1065075,Chamberí,Arapiles,40.43812,-3.7108,22,300,358
1065714,Centro,Universidad,40.42555,-3.70427,35,1,345
1065918,Centro,Universidad,40.42266,-3.70525,44,1,334
1067941,Tetuán,Almenara,40.46544,-3.69534,100,2,139
1069174,Centro,Cortes,40.41328,-3.69498,75,2,350
1075749,Centro,Sol,40.41707,-3.70536,101,2,0
1075890,Centro,Universidad,40.42208,-3.70471,135,1,365
1079119,Chamberí,Almagro,40.43747,-3.69949,102,2,363
1079722,Salamanca,Recoletos,40.4287,-3.6862,46,3,139
1082218,Centro,Universidad,40.4259,-3.7025,76,14,288
1082942,Centro,Embajadores,40.40912,-3.70074,54,5,250
1085217,Centro,Justicia,40.42463,-3.69692,29,60,1
1085898,Centro,Palacio,40.41301,-3.70848,127,2,180
1086124,Centro,Embajadores,40.41368,-3.70544,85,3,143
1087049,Centro,Embajadores,40.41353,-3.70715,230,3,142
1090988,Salamanca,Recoletos,40.4287,-3.6862,39,3,140
1091639,Arganzuela,Chopera,40.39651,-3.69944,30,2,89
1092967,Centro,Embajadores,40.40795,-3.70673,50,5,80
1101760,Centro,Cortes,40.4134,-3.6973,9999,2,106
1105481,Chamberí,Trafalgar,40.42951,-3.7019,50,1,365
1106495,Centro,Palacio,40.42117,-3.71103,47,1,18
1112289,Puente de Vallecas,Numancia,40.40259,-3.6642,25,5,357
1113817,Centro,Justicia,40.42204,-3.69989,139,365,0
1114960,Centro,Justicia,40.42361,-3.69809,58,7,122
1120286,Centro,Universidad,40.42422,-3.70078,21,4,134
1126038,Salamanca,Goya,40.42414,-3.67547,17,30,1
1128626,Centro,Embajadores,40.40965,-3.70341,44,25,336
1130775,Chamberí,Trafalgar,40.43401,-3.70052,20,120,358
1130788,Chamberí,Trafalgar,40.43454,-3.70036,24,120,11
1133140,Centro,Embajadores,40.41163,-3.69811,510,2,83
1146228,Centro,Embajadores,40.4085,-3.69743,53,3,258
1152744,Centro,Palacio,40.41353,-3.71157,54,3,365
1153128,Chamberí,Trafalgar,40.43752,-3.70019,44,60,304
1159972,Centro,Cortes,40.41179,-3.69622,575,3,317
1160005,Centro,Embajadores,40.41018,-3.69925,58,28,363
1161437,Chamberí,Rios Rosas,40.43907,-3.70305,48,7,268
1162707,Chamberí,Gaztambide,40.43715,-3.71356,32,1,349
1168731,Villaverde,San Andrés,40.34993,-3.70594,70,4,335
1174292,Villaverde,Los Rosales,40.35618,-3.69082,78,1,365
1176241,Centro,Cortes,40.41031,-3.69438,45,120,138
1177790,Centro,Justicia,40.42087,-3.70118,48,90,226
1182242,Retiro,Pacífico,40.40698,-3.67882,160,4,139
1184735,Centro,Sol,40.4183,-3.70731,107,3,149
1186878,Carabanchel,Comillas,40.3969,-3.71329,21,2,0
1198047,Centro,Embajadores,40.40786,-3.70223,65,1,227
1206122,Retiro,Ibiza,40.41816,-3.67559,104,2,349
1209383,Arganzuela,Palos de Moguer,40.40339,-3.69393,35,2,363
1209661,Arganzuela,Delicias,40.39236,-3.69462,83,3,298
1214008,Puente de Vallecas,Numancia,40.39842,-3.667,19,2,88
1220946,Centro,Sol,40.41682,-3.70233,75,2,349
1227155,Centro,Sol,40.41568,-3.70486,43,7,364
1230412,Centro,Cortes,40.41195,-3.696,200,2,365
